Ticker,Company Name,Exchange ,Sector,Industry,CEO,Issue Type
BSTI,BEST Inc. American Depositary Shares each representing one Class A,New York Stock Exchange,Technology,Application Software,Shao-Ning J. Chou,cs
BGCA,BGC Partners Inc. 8.125% Senior Notes due 2042,New York Stock Exchange,Financial Services,Brokers & Exchanges,Howard W. Lutnick,
BHP,BHP Billiton Limited,New York Stock Exchange,Basic Materials,Metals & Mining,Andrew Mackenzie,cs
BBL,BHP Billiton plc Sponsored ADR,New York Stock Exchange,Basic Materials,Metals & Mining,Andrew Mackenzie,cs
BIG,Big Lots Inc.,New York Stock Exchange,Consumer Defensive,Retail - Defensive,,cs
BH,Biglari Holdings Inc. Class B,New York Stock Exchange,Consumer Cyclical,Restaurants,Sardar Biglari,cs
BH.A,Biglari Holdings Inc. Class A,New York Stock Exchange,Consumer Cyclical,Restaurants,Sardar Biglari,cs
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,New York Stock Exchange,Healthcare,Biotechnology,Vlad Coric,cs
BIO,Bio-Rad Laboratories Inc. Class A,New York Stock Exchange,Healthcare,Medical Diagnostics & Research,Norman Schwartz,cs
BIO.B,Bio-Rad Laboratories Inc. Class B,New York Stock Exchange,Healthcare,Medical Diagnostics & Research,Norman Schwartz,cs
BITA,Bitauto Holdings Limited American Depositary Shares (each representing one),New York Stock Exchange,Technology,Online Media,Xuan Zhang,cs
BJ,BJ's Wholesale Club Holdings Inc.,New York Stock Exchange,,,,cs
BKH,Black Hills Corporation,New York Stock Exchange,Utilities,Utilities - Regulated,David R. Emery,cs
BKHU,Black Hills Corporation Corporate Units,New York Stock Exchange,Utilities,Utilities - Regulated,David R. Emery,su
BKI,Black Knight Inc.,New York Stock Exchange,Technology,Application Software,Anthony M. Jabbour,cs
BSM,Black Stone Minerals L.P. representing limited partner interests,New York Stock Exchange,Energy,Oil & Gas - E&P,Thomas L. Carter,cs
BB,BlackBerry Limited,New York Stock Exchange,Technology,Communication Equipment,John S. Chen,cs
BGIO,BlackRock 2022 Global Income Opportunity Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BJZ,Blackrock California Municipal 2018 Term Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BFZ,BlackRock California Municipal Income Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
CII,Blackrock Capital and Income Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BHK,Blackrock Core Bond Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
HYT,Blackrock Corporate High Yield Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BTZ,BlackRock Credit Allocation Income Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
DSU,Blackrock Debt Strategies Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BGR,BlackRock Energy and Resources Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BDJ,Blackrock Enhanced Equity Dividend Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
EGF,Blackrock Enhanced Government Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
FRA,Blackrock Floating Rate Income Strategies Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BFO,Blackrock Florida Municipal 2020 Term Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BGT,BlackRock Floating Rate Income Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BOE,Blackrock Enhanced Global Dividend Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BME,Blackrock Health Sciences Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BAF,BlackRock Municipal Income Investment Quality Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BKT,BlackRock Income Trust Inc. (The),New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BGY,Blackrock Enhanced International Dividend Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BTA,BlackRock Long-Term Municipal Advantage Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BZM,BlackRock Maryland Municipal Bond Trust of beneficial interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MHE,BlackRock Massachusetts Tax-Exempt Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BIT,BlackRock Multi-Sector Income Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUI,Blackrock Muni Intermediate Duration Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MNE,Blackrock Muni New York Intermediate Duration Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUA,Blackrock MuniAssets Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BPK,Blackrock Municipal 2018 Term Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BKK,Blackrock Municipal 2020 Term Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BBK,Blackrock Municipal Bond Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BBF,BlackRock Municipal Income Investment Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BYM,Blackrock Municipal Income Quality Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BFK,BlackRock Municipal Income Trust,New York Stock Exchange,Financial Services,Asset Management,,cs
BLE,BlackRock Municipal Income Trust II,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BTT,BlackRock Municipal 2030 Target Term Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MEN,Blackrock MuniEnhanced Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUC,Blackrock MuniHoldings California Quality Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUH,Blackrock MuniHoldings Fund II Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MHD,Blackrock MuniHoldings Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MFL,Blackrock MuniHoldings Investment Quality Fund of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MHN,Blackrock MuniHoldings New York Quality Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUE,Blackrock MuniHoldings Quality Fund II Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MUS,Blackrock MuniHoldings Quality Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MVT,Blackrock MuniVest Fund II Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MYC,Blackrock MuniYield California Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MCA,Blackrock MuniYield California Quality Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MYD,Blackrock MuniYield Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,,cs
MYF,Blackrock MuniYield Investment Fund,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MFT,Blackrock MuniYield Investment Quality Fund of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MIY,Blackrock MuniYield Michigan Quality Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MYJ,Blackrock MuniYield New Jersey Fund Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MYN,Blackrock MuniYield New York Quality Fund Inc.Common Stock,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MPA,Blackrock MuniYield Pennsylvania Quality Fund,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MQT,Blackrock MuniYield Quality Fund II Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MYI,Blackrock MuniYield Quality Fund III Inc,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
MQY,Blackrock MuniYield Quality Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BNY,BlackRock New York Municipal Income Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BLH,Blackrock New York Municipal 2018 Term Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BQH,Blackrock New York Municipal Bond Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BSE,Blackrock New York Municipal Income Quality Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BFY,BlackRock New York Municipal Income Trust II,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BCX,BlackRock Resources of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BST,BlackRock Science and Technology Trust of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BSD,BlackRock Strategic Municipal Trust Inc. (The),New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BHV,BlackRock Virginia Municipal Bond Trust,New York Stock Exchange,Financial Services,Asset Management,John M. Perlowski,cs
BLK,BlackRock Inc.,New York Stock Exchange,Financial Services,Asset Management,Laurence D. Fink,cs
BGB,Blackstone / GSO Strategic Credit Fund,New York Stock Exchange,Financial Services,Asset Management,Daniel H. Smith,cs
BGX,Blackstone GSO Long Short Credit Income Fund,New York Stock Exchange,Financial Services,Asset Management,Daniel H. Smith,cs
BSL,Blackstone GSO Senior Floating Rate Term Fund of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,Daniel H. Smith,cs
