Ticker,Company Name,Exchange ,Sector,Industry,CEO,Issue Type
PIH,1347 Property Insurance Holdings Inc.,NASDAQ Global Market,Financial Services,Insurance - Property & Casualty,Douglas N. Raucy,cs
PIHPP,1347 Property Insurance Holdings Inc. 8.00% Cumulative Series A Preferred Stock,NASDAQ Global Market,Financial Services,Insurance - Property & Casualty,Douglas N. Raucy,ps
TURN,180 Degree Capital Corp.,NASDAQ Global Market,Financial Services,Asset Management,Kevin Rendino,cs
FLWS,1-800 FLOWERS.COM Inc.,Nasdaq Global Select,Consumer Cyclical,Retail - Apparel & Specialty,Christopher G. McCann,cs
FCCY,1st Constitution Bancorp (NJ),NASDAQ Global Market,Financial Services,Banks,Robert F. Mangano,cs
SRCE,1st Source Corporation,Nasdaq Global Select,Financial Services,Banks,Christopher J. Murphy,cs
VNET,21Vianet Group Inc.,Nasdaq Global Select,Technology,Application Software,Shiqi Wang / Steve Zhenqing Zhang,cs
TWOU,2U Inc.,Nasdaq Global Select,Technology,Application Software,Christopher J. Paucek,cs
JOBS,51job Inc.,Nasdaq Global Select,Industrials,Employment Services,Rick Yan,cs
EGHT,8x8 Inc,New York Stock Exchange,Communication Services,Communication Services,Vikram Verma,cs
AVHI,A V Homes Inc.,Nasdaq Global Select,Consumer Cyclical,Homebuilding & Construction,Roger A. Cregg,cs
SHLM,A. Schulman Inc.,Nasdaq Global Select,Basic Materials,Chemicals,Joseph M. Gingo,cs
AAON,AAON Inc.,Nasdaq Global Select,Basic Materials,Building Materials,Norman H. Asbjornson,cs
ABAX,ABAXIS Inc.,Nasdaq Global Select,Healthcare,Medical Diagnostics & Research,Clinton H. Severson,cs
ABEO,Abeona Therapeutics Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Frank Carsten Thiel,cs
ABEOW,,,,,,
ABIL,Ability Inc.,NASDAQ Capital Market,Technology,Communication Equipment,Anatoly Hurgin,cs
ABMD,ABIOMED Inc.,Nasdaq Global Select,Healthcare,Medical Devices,Michael R. Minogue,cs
AXAS,Abraxas Petroleum Corporation,NASDAQ Capital Market,Energy,Oil & Gas - E&P,Robert L.G. Watson,cs
ACIU,AC Immune SA,NASDAQ Global Market,Healthcare,Biotechnology,Andrea Pfeifer,cs
ACIA,Acacia Communications Inc.,Nasdaq Global Select,Technology,Communication Equipment,Murugesan Shanmugaraj,cs
ACTG,Acacia Research Corporation,Nasdaq Global Select,Industrials,Business Services,,cs
ACHC,Acadia Healthcare Company Inc.,Nasdaq Global Select,Healthcare,Health Care Providers,Joey A. Jacobs,cs
ACAD,ACADIA Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Stephen R. Davis,cs
ACST,Acasti Pharma Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Janelle D'Alvise,cs
AXDX,Accelerate Diagnostics Inc.,NASDAQ Capital Market,Healthcare,Medical Diagnostics & Research,Lawrence Mehren,cs
XLRN,Acceleron Pharma Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Habib J. Dable,cs
ANCX,Access National Corporation,NASDAQ Global Market,Financial Services,Banks,Michael W. Clarke,cs
ARAY,Accuray Incorporated,Nasdaq Global Select,Healthcare,Medical Devices,,cs
ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Medical Devices,Vincent J. Angotti,cs
ACER,Acer Therapeutics Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Chris Schelling,cs
ACET,Aceto Corporation,Nasdaq Global Select,Healthcare,Drug Manufacturers,,cs
AKAO,Achaogen Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Blake Wise,cs
ACHV,Achieve Life Sciences Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Richard Alistair Balfour Stewart,cs
ACHN,Achillion Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Milind S. Deshpande,cs
ACIW,ACI Worldwide Inc.,Nasdaq Global Select,Technology,Application Software,Phillip G. Heasley,cs
ACRS,Aclaris Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Neal Walker,cs
ACMR,ACM Research Inc.,NASDAQ Global Market,Technology,Semiconductors,David H. Wang,cs
ACNB,ACNB Corporation,NASDAQ Capital Market,Financial Services,Banks,James Helt,cs
ACOR,Acorda Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Ron Cohen,cs
ATVI,Activision Blizzard Inc,Nasdaq Global Select,Technology,Application Software,Robert A. Kotick,cs
ACXM,Acxiom Corporation,Nasdaq Global Select,Technology,Application Software,Scott E. Howe,cs
ADMS,Adamas Pharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Drug Manufacturers,Gregory Went,cs
ADMP,Adamis Pharmaceuticals Corporation,NASDAQ Capital Market,Healthcare,Drug Manufacturers,Dennis J. Carlo,cs
ADAP,Adaptimmune Therapeutics plc,Nasdaq Global Select,Healthcare,Biotechnology,James J. Noble,cs
ADUS,Addus HomeCare Corporation,Nasdaq Global Select,Healthcare,Health Care Providers,R. Dirk Allison,cs
AEY,ADDvantage Technologies Group Inc.,NASDAQ Global Market,Technology,Computer Hardware,David L. Humphrey,cs
IOTS,Adesto Technologies Corporation,NASDAQ Capital Market,Technology,Semiconductors,Narbeh Derhacobian,cs
ADMA,ADMA Biologics Inc,NASDAQ Capital Market,Healthcare,Biotechnology,Adam S. Grossman,cs
ADBE,Adobe Systems Incorporated,Nasdaq Global Select,Technology,Application Software,Shantanu Narayen,cs
ADOM,ADOMANI Inc.,NASDAQ Capital Market,Consumer Cyclical,Autos,James L. Reynolds,cs
ADTN,ADTRAN Inc.,Nasdaq Global Select,Technology,Communication Equipment,Thomas R. Stanton,cs
ADRO,Aduro Biotech Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Stephen T. Isaacs,cs
ADES,Advanced Emissions Solutions Inc.,NASDAQ Global Market,Industrials,Industrial Products,L. Heath Sampson,cs
AEIS,Advanced Energy Industries Inc.,Nasdaq Global Select,Technology,Computer Hardware,Yuval Wasserman,cs
AMD,Advanced Micro Devices Inc.,NASDAQ Capital Market,Technology,Semiconductors,Lisa T. Su,cs
ADXS,Advaxis Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Kenneth A. Berlin,cs
ADXSW,Advaxis Inc. Warrants,NASDAQ Capital Market,Healthcare,Biotechnology,Daniel J. O'Connor,
ADVM,Adverum Biotechnologies Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Leone Patterson,cs
ACT,AdvisorShares Vice ETF,NASDAQ Global Market,,,,
AEGN,Aegion Corp,Nasdaq Global Select,Industrials,Engineering & Construction,Charles R. Gordon,cs
AGLE,Aeglea BioTherapeutics Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Anthony G. Quinn,cs
AEHR,Aehr Test Systems,NASDAQ Capital Market,Technology,Semiconductors,Gayn Erickson,cs
AMTX,Aemetis Inc,NASDAQ Global Market,Basic Materials,Chemicals,Eric A. McAfee,cs
AERI,Aerie Pharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Drug Manufacturers,Vicente Anido,cs
AVAV,AeroVironment Inc.,Nasdaq Global Select,Industrials,Aerospace & Defense,Wahid Nawabi,cs
ARPO,Aerpio Pharmaceuticals Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,,cs
AEZS,Aeterna Zentaris Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Michael Ward,cs
AEMD,Aethlon Medical Inc.,NASDAQ Capital Market,Technology,Computer Hardware,James A. Joyce,cs
GNMX,Aevi Genomic Medicine Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Michael F. Cola,cs
AFMD,Affimed N.V.,NASDAQ Global Market,Healthcare,Biotechnology,Adi Hoess,cs
AGEN,Agenus Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Garo H Armen,cs
AGRX,Agile Therapeutics Inc.,NASDAQ Global Market,Healthcare,Drug Manufacturers,Alfred Altomari,cs
AGYS,Agilysys Inc.,Nasdaq Global Select,Technology,Application Software,Ramesh Srinivasan,cs
AGIO,Agios Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,David P. Schenkein,cs
AGMH,AGM Group Holdings Inc.,NASDAQ Capital Market,Technology,Application Software,Wenjie Tang,cs
AGNC,AGNC Investment Corp.,Nasdaq Global Select,Real Estate,REITs,Gary D. Kain,cs
AGNCB,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,Nasdaq Global Select,Real Estate,REITs,Gary D. Kain,ps
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,Nasdaq Global Select,Real Estate,REITs,Gary D. Kain,ps
AGFS,AgroFresh Solutions Inc.,Nasdaq Global Select,Basic Materials,Agriculture,Jordi Ferre,cs
AGFSW,AgroFresh Solutions Inc. Warrants,Nasdaq Global Select,,,,
ALRN,Aileron Therapeutics Inc.,NASDAQ Global Market,Healthcare,Biotechnology,John P. Longenecker,cs
AIMT,Aimmune Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Stephen Dilly,cs
AIRT,Air T Inc.,NASDAQ Capital Market,Industrials,Transportation & Logistics,,cs
ATSG,Air Transport Services Group Inc,Nasdaq Global Select,Industrials,Transportation & Logistics,Joseph C. Hete,cs
AIRG,Airgain Inc.,NASDAQ Capital Market,Technology,Communication Equipment,Jim K. Sims,cs
AMCN,AirMedia Group Inc,Nasdaq Global Select,Consumer Cyclical,Advertising & Marketing Services,Herman Man Guo,cs
AKAM,Akamai Technologies Inc.,Nasdaq Global Select,Technology,Application Software,F. Thomson Leighton,cs
AKTX,Akari Therapeutics Plc,NASDAQ Capital Market,Healthcare,Biotechnology,Gur-Arye Yehuda Roshwalb,cs
AKCA,Akcea Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Paula Soteropoulos,cs
AKBA,Akebia Therapeutics Inc.,NASDAQ Global Market,Healthcare,Biotechnology,John P. Butler,cs
AKER,Akers Biosciences Inc,NASDAQ Capital Market,Healthcare,Medical Instruments & Equipment,John J. Gormally,cs
AKRX,Akorn Inc.,Nasdaq Global Select,Healthcare,Drug Manufacturers,Rajat Rai,cs
AKTS,Akoustis Technologies Inc.,NASDAQ Capital Market,Technology,Communication Equipment,Jeffrey B. Shealy,cs
ALRM,Alarm.com Holdings Inc.,Nasdaq Global Select,Technology,Application Software,Stephen Trundle,cs
ALSK,Alaska Communications Systems Group Inc.,Nasdaq Global Select,Communication Services,Communication Services,Anand Vadapalli,cs
ALBO,Albireo Pharma Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Ronald H.W. Cooper,cs
ABDC,Alcentra Capital Corp.,Nasdaq Global Select,Financial Services,Asset Management,Vijay Rajguru,cs
ALDR,Alder BioPharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Robert Azelby,cs
ALDX,Aldeyra Therapeutics Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Todd C. Brady,cs
ALXN,Alexion Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Ludwig N. Hantson,cs
ALCO,Alico Inc.,Nasdaq Global Select,Consumer Defensive,Consumer Packaged Goods,Remy W. Trafelet,cs
ALGN,Align Technology Inc.,Nasdaq Global Select,Healthcare,Medical Devices,Joseph M. Hogan,cs
ALIM,Alimera Sciences Inc.,NASDAQ Global Market,Healthcare,Drug Manufacturers,C. Daniel Myers,cs
ALJJ,ALJ Regional Holdings Inc.,NASDAQ Global Market,Industrials,Business Services,Jess M. Ravich,cs
ALKS,Alkermes plc,Nasdaq Global Select,Healthcare,Biotechnology,Richard F. Pops,cs
ABTX,Allegiance Bancshares Inc.,NASDAQ Global Market,Financial Services,Banks,George Martinez,cs
ALGT,Allegiant Travel Company,Nasdaq Global Select,Industrials,Airlines,Maurice J. Gallagher,cs
ALNA,Allena Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Alexey L. Margolin,cs
AMMA,Alliance MMA Inc.,NASDAQ Capital Market,Consumer Cyclical,Travel & Leisure,,cs
ARLP,Alliance Resource Partners L.P.,Nasdaq Global Select,Basic Materials,Coal,Joseph W. Craft,cs
AHPI,Allied Healthcare Products Inc.,NASDAQ Capital Market,Healthcare,Medical Devices,Earl R. Refsland,cs
AMOT,Allied Motion Technologies Inc.,NASDAQ Global Market,Technology,Computer Hardware,Richard S. Warzala,cs
ALQA,Alliqua BioMedical Inc.,NASDAQ Capital Market,Healthcare,Drug Manufacturers,David I Johnson,cs
ALLT,Allot Communications Ltd.,Nasdaq Global Select,Technology,Communication Equipment,Erez Antebi,cs
MDRX,Allscripts Healthcare Solutions Inc.,Nasdaq Global Select,Technology,Application Software,Paul M. Black,cs
ALNY,Alnylam Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,John M. Maraganore,cs
AOSL,Alpha and Omega Semiconductor Limited,Nasdaq Global Select,Technology,Semiconductors,Mike Chang,cs
GOOG,Alphabet Inc.,Nasdaq Global Select,Technology,Online Media,Larry Page,cs
GOOGL,Alphabet Inc.,Nasdaq Global Select,Technology,Online Media,Larry Page,cs
SMCP,AlphaMark Actively Managed Small Cap ETF,NASDAQ Global Market,,,,
ATEC,Alphatec Holdings Inc.,Nasdaq Global Select,Healthcare,Medical Instruments & Equipment,Patrick S Miles,cs
ALPN,Alpine Immune Sciences Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Mitchell H. Gold,cs
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,NASDAQ Global Market,,,,
AMR,Alta Mesa Resources Inc.,NASDAQ Capital Market,Industrials,Conglomerates,Harlan H. Chappelle,cs
AMRWW,Alta Mesa Resources Inc. Warrant,NASDAQ Capital Market,,,,
AABA,Altaba Inc.,Nasdaq Global Select,Financial Services,Asset Management,Thomas J. Mcinerney,cs
ALTR,Altair Engineering Inc.,Nasdaq Global Select,Technology,Application Software,James R. Scapa,cs
ALT,Altimmune Inc.,NASDAQ Global Market,Healthcare,Biotechnology,William Enright,cs
ASPS,Altisource Portfolio Solutions S.A.,Nasdaq Global Select,Industrials,Business Services,William B. Shepro,cs
AIMC,Altra Industrial Motion Corp.,Nasdaq Global Select,Industrials,Industrial Products,Carl R. Christenson,cs
AMAG,AMAG Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,William K. Heiden,cs
AMRN,Amarin Corporation plc,NASDAQ Global Market,Healthcare,Biotechnology,John F. Thero,cs
AMRK,A-Mark Precious Metals Inc.,Nasdaq Global Select,Financial Services,Brokers & Exchanges,Gregory N. Roberts,cs
AMZN,Amazon.com Inc.,Nasdaq Global Select,Consumer Cyclical,Retail - Apparel & Specialty,Jeffrey P. Bezos,cs
AMBC,Ambac Financial Group Inc.,Nasdaq Global Select,Financial Services,Insurance - Specialty,Claude L LeBlanc,cs
AMBCW,Ambac Financial Group Inc. Warrants,Nasdaq Global Select,Financial Services,Insurance - Specialty,Claude L LeBlanc,
AMBA,Ambarella Inc.,Nasdaq Global Select,Technology,Semiconductors,Feng-Ming Wang,cs
AMCX,AMC Networks Inc.,Nasdaq Global Select,Consumer Cyclical,Entertainment,Joshua W. Sapan,cs
DOX,Amdocs Limited,Nasdaq Global Select,Technology,Application Software,Eli Gelman,cs
AMDA,Amedica Corporation,NASDAQ Capital Market,Healthcare,Medical Devices,B. Sonny Bal,cs
AMED,Amedisys Inc,Nasdaq Global Select,Healthcare,Health Care Providers,Paul B. Kusserow,cs
UHAL,Amerco,Nasdaq Global Select,Industrials,Consulting & Outsourcing,Edward J. Shoen,cs
AMRH,Ameri Holdings Inc.,NASDAQ Capital Market,Technology,Application Software,Brent Kelton,cs
AMRHW,Ameri Holdings Inc. Warrant,NASDAQ Capital Market,,,,
ATAX,America First Multifamily Investors L.P.,Nasdaq Global Select,Financial Services,Banks,Chad L. Daffer,cs
AMOV,America Movil S.A.B. de C.V. Class An Depositary Shares,New York Stock Exchange,Communication Services,Communication Services,Daniel Hajj Aboumrad,cs
AAL,American Airlines Group Inc.,Nasdaq Global Select,Industrials,Airlines,W. Douglas Parker,cs
ACSF,American Capital Senior Floating Ltd.,Nasdaq Global Select,Financial Services,Asset Management,Kevin Braddish,cs
AETI,American Electric Technologies Inc.,NASDAQ Capital Market,Industrials,Industrial Products,Charles M. Dauber,cs
AMNB,American National Bankshares Inc.,Nasdaq Global Select,Financial Services,Banks,Jeffrey V. Haley,cs
ANAT,American National Insurance Company,Nasdaq Global Select,Financial Services,Insurance - Property & Casualty,James E. Pozzi,cs
AOBC,American Outdoor Brands Corporation,Nasdaq Global Select,Industrials,Aerospace & Defense,P. James Debney,cs
APEI,American Public Education Inc.,Nasdaq Global Select,Consumer Defensive,Education,Wallace E. Boston,cs
ARII,American Railcar Industries Inc.,Nasdaq Global Select,Industrials,Transportation & Logistics,John O¿Bryan,cs
AMRB,American River Bankshares,Nasdaq Global Select,Financial Services,Banks,David E. Ritchie,cs
AMSWA,American Software Inc. Class A Common Stock,Nasdaq Global Select,Technology,Application Software,James C. Edenfield,cs
AMSC,American Superconductor Corporation,Nasdaq Global Select,Technology,Computer Hardware,Daniel P. McGahn,cs
AMWD,American Woodmark Corporation,Nasdaq Global Select,Consumer Cyclical,Manufacturing - Apparel & Furniture,S. Cary Dunston,cs
CRMT,America's Car-Mart Inc.,Nasdaq Global Select,Consumer Cyclical,Autos,Jeffery A. Williams,cs
ABCB,Ameris Bancorp,Nasdaq Global Select,Financial Services,Banks,Edwin W. Hortman,cs
AMSF,AMERISAFE Inc.,Nasdaq Global Select,Financial Services,Insurance - Property & Casualty,G. Janelle Frost,cs
ASRV,AmeriServ Financial Inc.,NASDAQ Global Market,Financial Services,Banks,Jeffrey A. Stopko,cs
ASRVP,AmeriServ Financial Inc. AmeriServ Financial Trust I,NASDAQ Global Market,Financial Services,Asset Management,,ps
ATLO,Ames National Corporation,NASDAQ Capital Market,Financial Services,Banks,Thomas H. Pohlman,cs
AMGN,Amgen Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Robert A. Bradway,cs
FOLD,Amicus Therapeutics Inc.,NASDAQ Global Market,Healthcare,Biotechnology,John F. Crowley,cs
AMKR,Amkor Technology Inc.,Nasdaq Global Select,Technology,Semiconductors,Stephen D. Kelley,cs
AMPH,Amphastar Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Drug Manufacturers,Jack Yongfeng Zhang,cs
IBUY,Amplify Online Retail ETF,NASDAQ Global Market,,,,
ASYS,Amtech Systems Inc.,Nasdaq Global Select,Technology,Semiconductors,Fokko Pentinga,cs
AFSI,AmTrust Financial Services Inc.,Nasdaq Global Select,Financial Services,Insurance - Property & Casualty,Barry D. Zyskind,cs
AMRS,Amyris Inc.,Nasdaq Global Select,Basic Materials,Chemicals,John Melo,cs
ADI,Analog Devices Inc.,Nasdaq Global Select,Technology,Semiconductors,Vincent T. Roche,cs
ANAB,AnaptysBio Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Hamza Suria,cs
AVXL,Anavex Life Sciences Corp.,NASDAQ Capital Market,Healthcare,Biotechnology,Christopher U. Missling,cs
ANCB,Anchor Bancorp,NASDAQ Global Market,Financial Services,Banks,Jerald L. Shaw,cs
ANGI,ANGI Homeservices Inc.,Nasdaq Global Select,Technology,Online Media,Christopher Terrill,cs
ANGO,AngioDynamics Inc.,Nasdaq Global Select,Healthcare,Medical Instruments & Equipment,James C. Clemmer,cs
ANIP,ANI Pharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Arthur S. Przybyl,cs
ANIK,Anika Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Joseph G. Darling,cs
ANSS,ANSYS Inc.,Nasdaq Global Select,Technology,Application Software,Ajei S. Gopal,cs
ATRS,Antares Pharma Inc.,NASDAQ Capital Market,Healthcare,Medical Instruments & Equipment,Robert F. Apple,cs
APLS,Apellis Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Cedric Francois,cs
APOG,Apogee Enterprises Inc.,Nasdaq Global Select,Basic Materials,Building Materials,Joseph F. Puishys,cs
APEN,Apollo Endosurgery Inc.,NASDAQ Global Market,Healthcare,Medical Devices,Todd Newton,cs
AINV,Apollo Investment Corporation,Nasdaq Global Select,Financial Services,Asset Management,Howard Widra,cs
AMEH,Apollo Medical Holdings Inc.,NASDAQ Capital Market,Healthcare,Health Care Providers,Warren Hosseinion / Thomas S. Lam,cs
APPF,AppFolio Inc.,NASDAQ Global Market,Technology,Application Software,Jason Randall,cs
APPN,Appian Corporation,NASDAQ Global Market,Technology,Application Software,Matthew W. Calkins,cs
AAPL,Apple Inc.,Nasdaq Global Select,Technology,Computer Hardware,Timothy D. Cook,cs
ARCI,Appliance Recycling Centers of America Inc.,NASDAQ Capital Market,Consumer Cyclical,Retail - Apparel & Specialty,Tony Isaac,cs
APDN,Applied DNA Sciences Inc,NASDAQ Capital Market,Industrials,Consulting & Outsourcing,James A. Hayward,cs
APDNW,,,,,,
AGTC,Applied Genetic Technologies Corporation,NASDAQ Global Market,Healthcare,Biotechnology,Susan B. Washer,cs
AMAT,Applied Materials Inc.,Nasdaq Global Select,Technology,Semiconductors,Gary E. Dickerson,cs
AAOI,Applied Optoelectronics Inc.,NASDAQ Global Market,Technology,Semiconductors,Chih-Hsiang Thompson Lin,cs
AREX,Approach Resources Inc.,Nasdaq Global Select,Energy,Oil & Gas - E&P,J. Ross Craft,cs
APTI,Apptio Inc.,NASDAQ Global Market,Technology,Application Software,Sachin Gupta,cs
APRI,Apricus Biosciences Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Richard W. Pascoe,cs
APVO,Aptevo Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Marvin L. White,cs
APTX,Aptinyx Inc.,Nasdaq Global Select,Healthcare,Biotechnology,,cs
APTO,Aptose Biosciences Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,William G. Rice,cs
AQMS,Aqua Metals Inc.,NASDAQ Capital Market,Industrials,Waste Management,,cs
AQB,AquaBounty Technologies Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Ronald L Stotish,cs
AQXP,Aquinox Pharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Drug Manufacturers,David J. Main,cs
ARDM,Aradigm Corporation,NASDAQ Capital Market,Healthcare,Drug Manufacturers,John M. Siebert,cs
ARLZ,Aralez Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Drug Manufacturers,Adrian Adams,cs
PETX,Aratana Therapeutics Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Steven St. Peter,cs
ABUS,Arbutus Biopharma Corporation,Nasdaq Global Select,Healthcare,Biotechnology,Mark Murray,cs
ARCW,ARC Group Worldwide Inc.,NASDAQ Capital Market,Industrials,Industrial Products,Alan G. Quasha,cs
ABIO,ARCA biopharma Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Michael R. Bristow,cs
RKDA,Arcadia Biosciences Inc.,NASDAQ Capital Market,Basic Materials,Agriculture,Rajendra Dinkar Ketkar,cs
ARCB,ArcBest Corporation,Nasdaq Global Select,Industrials,Transportation & Logistics,Judy R. McReynolds,cs
ACGL,Arch Capital Group Ltd.,Nasdaq Global Select,Financial Services,Insurance,Marc Grandisson,cs
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,Nasdaq Global Select,Financial Services,Insurance,Marc Grandisson,ps
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Nasdaq Global Select,Financial Services,Insurance,Marc Grandisson,ps
FUV,Arcimoto Inc.,NASDAQ Capital Market,Consumer Cyclical,Autos,Mark Frohnmayer,cs
ARCT,Arcturus Therapeutics Ltd.,NASDAQ Global Market,Healthcare,Biotechnology,,cs
ARDX,Ardelyx Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Michael G. Raab,cs
ARNA,Arena Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Amit D. Munshi,cs
ARCC,Ares Capital Corporation,Nasdaq Global Select,Financial Services,Asset Management,R. Kipp DeVeer,cs
ARGX,argenx SE,Nasdaq Global Select,Healthcare,Biotechnology,Tim Van Hauwermeiren,cs
ARKR,Ark Restaurants Corp.,NASDAQ Global Market,Consumer Cyclical,Restaurants,Michael Weinstein,cs
ARTX,Arotech Corporation,NASDAQ Global Market,Industrials,Industrial Products,Dean Krutty,cs
ARQL,ArQule Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Paolo Pucci,cs
ARRY,Array BioPharma Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Ron Squarer,cs
ARRS,ARRIS International plc,Nasdaq Global Select,Technology,Communication Equipment,Bruce W. McClelland,cs
DWCR,Arrow DWA Country Rotation ETF,NASDAQ Global Market,,,,
DWAT,Arrow DWA Tactical ETF,NASDAQ Global Market,,,,
AROW,Arrow Financial Corporation,Nasdaq Global Select,Financial Services,Banks,Thomas J. Murphy,cs
ARWR,Arrowhead Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Christopher Anzalone,cs
ASNS,Arsanis Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Rene Russo,cs
ARTNA,Artesian Resources Corporation Class A Non-Voting Common Stock,Nasdaq Global Select,Utilities,Utilities - Regulated,Dian C. Taylor,cs
ARTW,Art's-Way Manufacturing Co. Inc.,NASDAQ Capital Market,Industrials,Farm & Construction Machinery,Carrie L. Gunnerson,cs
ASNA,Ascena Retail Group Inc.,Nasdaq Global Select,Consumer Cyclical,Retail - Apparel & Specialty,,cs
ASND,Ascendis Pharma A/S,Nasdaq Global Select,Healthcare,Biotechnology,Jan Moller Mikkelsen,cs
ASCMA,Ascent Capital Group Inc. Series A Common Stock,Nasdaq Global Select,Industrials,Consulting & Outsourcing,William E. Niles,cs
APWC,Asia Pacific Wire & Cable Corporation Limited,NASDAQ Global Market,Technology,Computer Hardware,Yuan Chun Tang,cs
ASLN,ASLAN Pharmaceuticals Limited,NASDAQ Global Market,Healthcare,Biotechnology,Carl Firth,cs
ASML,ASML Holding N.V.,Nasdaq Global Select,Technology,Semiconductors,Peter T.F.M. Wennink,cs
ASPU,Aspen Group Inc.,NASDAQ Capital Market,Consumer Defensive,Education,,cs
AZPN,Aspen Technology Inc.,Nasdaq Global Select,Technology,Application Software,Antonio J. Pietri,cs
ASMB,Assembly Biosciences Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Derek Small,cs
ASFI,Asta Funding Inc.,Nasdaq Global Select,Financial Services,Credit Services,Gary Stern,cs
ASTE,Astec Industries Inc.,Nasdaq Global Select,Industrials,Farm & Construction Machinery,Benjamin G. Brock,cs
ATRO,Astronics Corporation,Nasdaq Global Select,Industrials,Aerospace & Defense,Peter J. Gundermann,cs
ALOT,AstroNova Inc.,NASDAQ Global Market,Technology,Computer Hardware,Gregory A. Woods,cs
ASTC,Astrotech Corporation,NASDAQ Capital Market,Industrials,Aerospace & Defense,Thomas Boone Pickens,cs
ASUR,Asure Software Inc,NASDAQ Capital Market,Technology,Application Software,Patrick Goepel,cs
ASV,ASV Holdings Inc.,NASDAQ Capital Market,Industrials,Farm & Construction Machinery,Andrew M. Rooke,cs
ATAI,ATA Inc.,NASDAQ Global Market,Consumer Defensive,Education,Kevin Xiaofeng Ma,cs
ATRA,Atara Biotherapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Isaac E. Ciechanover,cs
ATHN,athenahealth Inc.,Nasdaq Global Select,Technology,Application Software,,cs
ATNX,Athenex Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Johnson Y.N. Lau,cs
